;mid
0;000
1;010
2;020
3;030
4;040
5;050
6;060
7;070
8;080
9;090
10;101
11;111
12;121
13;131
14;141
15;151
16;161
17;171
18;181
19;191
20;202
21;212
22;222
23;232
24;242
25;252
26;262
27;272
28;282
29;292
30;303
31;313
32;323
33;333
34;343
35;353
36;363
37;373
38;383
39;393
40;404
41;414
42;424
43;434
44;444
45;454
46;464
47;474
48;484
49;494
50;505
51;515
52;525
53;535
54;545
55;555
56;565
57;575
58;585
59;595
60;606
61;616
62;626
63;636
64;646
65;656
66;666
67;676
68;686
69;696
70;707
71;717
72;727
73;737
74;747
75;757
76;767
77;777
78;787
79;797
80;808
81;818
82;828
83;838
84;848
85;858
86;868
87;878
88;888
89;898
90;909
91;919
92;929
93;939
94;949
95;959
96;969
97;979
98;989
99;999
